Date,Price,Open,High,Low,Vol.,Gap_Price_Open,Gap_High_Low
04/07/2026,81.3,81.0,82.06,79.83,2.48M,0.3,2.23
04/06/2026,81.67,80.95,82.37,80.02,4.47M,0.72,2.35
04/02/2026,80.97,77.21,81.0,77.06,5.65M,3.76,3.94
04/01/2026,80.6,78.11,82.0,77.33,7.53M,2.49,4.67
03/31/2026,76.95,74.0,77.0,73.56,7.25M,2.95,3.44
03/30/2026,73.24,74.49,74.49,72.12,8.86M,-1.25,2.37
03/27/2026,73.4,74.42,75.35,73.28,5.08M,-1.02,2.07
03/26/2026,74.99,75.76,76.37,73.99,6.20M,-0.77,2.38
03/25/2026,77.17,78.23,78.76,76.59,5.07M,-1.06,2.17
03/24/2026,75.94,77.0,77.01,74.28,4.56M,-1.06,2.73
03/23/2026,77.36,75.13,77.98,74.01,9.04M,2.23,3.97
03/20/2026,72.33,75.51,76.27,72.17,8.52M,-3.18,4.1
03/19/2026,75.83,75.15,76.11,74.01,5.28M,0.68,2.1
03/18/2026,76.27,75.99,77.48,75.39,4.26M,0.28,2.09
03/17/2026,76.5,77.18,78.45,75.29,3.84M,-0.68,3.16
03/16/2026,76.96,74.52,78.56,74.52,6.59M,2.44,4.04
03/13/2026,73.86,75.24,75.8,73.41,7.09M,-1.38,2.39
03/12/2026,74.73,82.91,83.54,74.62,9.85M,-8.18,8.92
03/11/2026,83.98,83.69,85.32,83.09,4.55M,0.29,2.23
03/10/2026,84.61,83.35,86.75,81.55,6.04M,1.26,5.2
03/09/2026,82.35,79.97,82.96,77.74,6.26M,2.38,5.22
03/06/2026,80.14,87.53,87.6,80.14,20.42M,-7.39,7.46
03/05/2026,87.16,92.2,92.3,86.82,5.91M,-5.04,5.48
03/04/2026,92.44,92.27,92.74,91.01,2.76M,0.17,1.73
03/03/2026,91.71,91.68,92.5,89.8,5.81M,0.03,2.7
03/02/2026,92.9,91.58,93.7,89.9,4.12M,1.32,3.8
02/27/2026,92.42,93.45,93.45,91.84,4.49M,-1.03,1.61
02/26/2026,94.36,93.04,94.36,91.28,3.19M,1.32,3.08
02/25/2026,92.48,94.59,94.71,91.45,2.80M,-2.11,3.26
02/24/2026,94.3,94.29,95.49,93.0,3.66M,0.01,2.49
02/23/2026,93.54,96.0,96.0,93.33,3.78M,-2.46,2.67
02/20/2026,95.71,94.95,96.7,93.08,4.57M,0.76,3.62
02/19/2026,94.63,94.5,94.84,92.98,2.50M,0.13,1.86
02/18/2026,94.33,94.74,95.37,93.73,4.68M,-0.41,1.64
02/13/2026,92.84,93.4,94.49,92.3,3.01M,-0.56,2.19
02/12/2026,93.4,92.49,94.5,92.25,3.31M,0.91,2.25
02/11/2026,93.37,94.94,94.95,92.5,4.02M,-1.57,2.45
02/10/2026,93.93,94.22,94.65,93.1,1.88M,-0.29,1.55
02/09/2026,94.01,92.8,94.34,91.77,2.94M,1.21,2.57
02/06/2026,91.75,91.95,92.47,90.13,3.78M,-0.2,2.34
02/05/2026,91.8,92.56,92.9,89.9,5.02M,-0.76,3.0
02/04/2026,92.17,95.75,96.06,90.42,5.62M,-3.58,5.64
02/03/2026,95.75,98.31,98.5,95.01,4.18M,-2.56,3.49
02/02/2026,97.24,98.05,98.67,96.0,4.98M,-0.81,2.67
01/30/2026,96.95,97.38,97.9,96.03,4.30M,-0.43,1.87
01/29/2026,97.36,100.55,100.88,96.92,4.08M,-3.19,3.96
01/28/2026,99.77,104.5,104.79,97.53,7.19M,-4.73,7.26
01/27/2026,103.42,103.59,105.5,103.14,4.63M,-0.17,2.36
01/26/2026,102.4,105.04,105.04,101.5,3.95M,-2.64,3.54
01/23/2026,103.96,103.41,104.76,102.31,3.80M,0.55,2.45
01/22/2026,102.96,100.11,103.56,100.11,5.77M,2.85,3.45
01/21/2026,99.69,99.45,99.88,97.66,3.86M,0.24,2.22
01/20/2026,98.61,99.05,99.68,98.21,2.68M,-0.44,1.47
01/19/2026,99.33,99.6,100.29,98.94,1.77M,-0.27,1.35
01/16/2026,99.3,99.3,99.42,97.62,4.61M,0.0,1.8
01/15/2026,98.97,97.4,99.22,96.11,4.01M,1.57,3.11
01/14/2026,96.28,97.15,97.41,95.6,3.52M,-0.87,1.81
01/13/2026,97.09,97.86,97.86,96.21,2.57M,-0.77,1.65
01/12/2026,97.93,95.89,98.17,95.49,2.82M,2.04,2.68
01/09/2026,95.85,95.07,96.01,94.36,2.03M,0.78,1.65
01/08/2026,94.84,94.14,97.35,93.73,5.08M,0.7,3.62
01/07/2026,93.91,93.61,95.45,92.65,3.24M,0.3,2.8
01/06/2026,93.08,92.91,93.61,91.45,4.90M,0.17,2.16
01/05/2026,92.89,89.01,92.99,89.01,5.42M,3.88,3.98
01/02/2026,88.59,89.1,89.38,87.69,2.23M,-0.51,1.69
