"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2026","14.87","14.74","14.95","14.76","13.56M","1.09%"
"04/13/2026","14.71","14.73","14.75","14.47","38.51M","-0.68%"
"04/10/2026","14.81","14.85","14.95","14.65","51.56M","0.47%"
"04/09/2026","14.74","14.55","14.84","14.49","30.78M","1.80%"
"04/08/2026","14.48","14.62","14.65","14.40","33.46M","3.80%"
"04/07/2026","13.95","13.86","13.96","13.69","23.55M","0.50%"
"04/06/2026","13.88","13.95","14.02","13.86","18.24M","-0.29%"
"04/02/2026","13.92","13.82","14.23","13.75","20.66M","-1.83%"
"04/01/2026","14.18","14.01","14.34","13.99","44.67M","1.43%"
"03/31/2026","13.98","13.51","13.98","13.42","37.60M","4.64%"
"03/30/2026","13.36","13.36","13.47","13.24","21.86M","0.75%"
"03/27/2026","13.26","13.39","13.39","13.17","25.81M","-1.27%"
"03/26/2026","13.43","13.48","13.64","13.38","30.88M","-1.90%"
"03/25/2026","13.69","13.69","13.84","13.61","36.00M","1.41%"
"03/24/2026","13.50","13.51","13.53","13.26","25.59M","-0.52%"
"03/23/2026","13.57","13.40","13.67","13.35","27.09M","3.59%"
"03/20/2026","13.10","13.27","13.32","12.99","64.95M","-1.53%"
"03/19/2026","13.30","13.01","13.40","12.94","28.48M","0.37%"
"03/18/2026","13.25","13.23","13.47","13.16","42.43M","-0.15%"
"03/17/2026","13.27","13.26","13.45","13.12","39.99M","0.07%"
"03/16/2026","13.26","13.38","13.42","13.21","16.69M","1.67%"
