Date,Price,Open,High,Low,Vol.,Gap_Price_Open,Gap_High_Low
04/09/2026,85.35,85.26,86.5,84.43,4.87M,0.0899999999999892,2.069999999999993
04/08/2026,85.19,87.39,87.39,83.62,8.17M,-2.200000000000003,3.769999999999996
04/07/2026,81.59,81.0,82.1,79.83,3.74M,0.5900000000000034,2.269999999999996
04/06/2026,81.67,80.95,82.37,80.02,4.47M,0.7199999999999989,2.3500000000000085
04/02/2026,80.97,77.21,81.0,77.06,5.65M,3.760000000000005,3.9399999999999977
04/01/2026,80.6,78.11,82.0,77.33,7.53M,2.489999999999995,4.670000000000002
03/31/2026,76.95,74.0,77.0,73.56,7.25M,2.950000000000003,3.4399999999999977
03/30/2026,73.24,74.49,74.49,72.12,8.86M,-1.25,2.3699999999999903
03/27/2026,73.4,74.42,75.35,73.28,5.08M,-1.019999999999996,2.069999999999993
03/26/2026,74.99,75.76,76.37,73.99,6.20M,-0.7700000000000102,2.3800000000000097
03/25/2026,77.17,78.23,78.76,76.59,5.07M,-1.0600000000000023,2.1700000000000017
03/24/2026,75.94,77.0,77.01,74.28,4.56M,-1.0600000000000023,2.730000000000004
03/23/2026,77.36,75.13,77.98,74.01,9.04M,2.230000000000004,3.969999999999999
03/20/2026,72.33,75.51,76.27,72.17,8.52M,-3.180000000000007,4.099999999999994
03/19/2026,75.83,75.15,76.11,74.01,5.28M,0.6799999999999926,2.0999999999999943
03/18/2026,76.27,75.99,77.48,75.39,4.26M,0.28000000000000114,2.0900000000000034
03/17/2026,76.5,77.18,78.45,75.29,3.84M,-0.6800000000000068,3.1599999999999966
03/16/2026,76.96,74.52,78.56,74.52,6.59M,2.4399999999999977,4.040000000000006
03/13/2026,73.86,75.24,75.8,73.41,7.09M,-1.3799999999999955,2.3900000000000006
03/12/2026,74.73,82.91,83.54,74.62,9.85M,-8.179999999999993,8.920000000000002
03/11/2026,83.98,83.69,85.32,83.09,4.55M,0.29000000000000625,2.2299999999999898
03/10/2026,84.61,83.35,86.75,81.55,6.04M,1.2600000000000051,5.200000000000003
03/09/2026,82.35,79.97,82.96,77.74,6.26M,2.3799999999999955,5.219999999999999
03/06/2026,80.14,87.53,87.6,80.14,20.42M,-7.390000000000001,7.459999999999994
03/05/2026,87.16,92.2,92.3,86.82,5.91M,-5.040000000000006,5.480000000000004
03/04/2026,92.44,92.27,92.74,91.01,2.76M,0.1700000000000017,1.7299999999999898
03/03/2026,91.71,91.68,92.5,89.8,5.81M,0.029999999999986926,2.700000000000003
03/02/2026,92.9,91.58,93.7,89.9,4.12M,1.3200000000000074,3.799999999999997
02/27/2026,92.42,93.45,93.45,91.84,4.49M,-1.0300000000000011,1.6099999999999994
02/26/2026,94.36,93.04,94.36,91.28,3.19M,1.3199999999999932,3.0799999999999983
02/25/2026,92.48,94.59,94.71,91.45,2.80M,-2.1099999999999994,3.259999999999991
02/24/2026,94.3,94.29,95.49,93.0,3.66M,0.009999999999990905,2.489999999999995
02/23/2026,93.54,96.0,96.0,93.33,3.78M,-2.4599999999999937,2.6700000000000017
02/20/2026,95.71,94.95,96.7,93.08,4.57M,0.7599999999999909,3.6200000000000045
02/19/2026,94.63,94.5,94.84,92.98,2.50M,0.12999999999999545,1.8599999999999994
02/18/2026,94.33,94.74,95.37,93.73,4.68M,-0.4099999999999966,1.6400000000000006
02/13/2026,92.84,93.4,94.49,92.3,3.01M,-0.5600000000000023,2.1899999999999977
02/12/2026,93.4,92.49,94.5,92.25,3.31M,0.9100000000000108,2.25
02/11/2026,93.37,94.94,94.95,92.5,4.02M,-1.5699999999999932,2.450000000000003
02/10/2026,93.93,94.22,94.65,93.1,1.88M,-0.28999999999999204,1.5500000000000114
02/09/2026,94.01,92.8,94.34,91.77,2.94M,1.210000000000008,2.5700000000000074
02/06/2026,91.75,91.95,92.47,90.13,3.78M,-0.20000000000000284,2.3400000000000034
